"","race_grouping","aggregate_sentence_length"
"1839","Non Indigenous",973
"1840","Non Indigenous",2665
"1841","Non Indigenous",1983
"1842","Non Indigenous",956
"1843","Indigenous",730
"1844","Non Indigenous",1034
"1845","Non Indigenous",2253
"1846","Non Indigenous",915
"1847","Non Indigenous",975
"1848","Non Indigenous",1064
"1849","Non Indigenous",2678
"1850","Indigenous",3344
"1851","Non Indigenous",730
"1852","Non Indigenous",1263
"1853","Non Indigenous",766
"1854","Non Indigenous",2557
"1855","Non Indigenous",1461
"1856","Non Indigenous",822
"1857","Non Indigenous",3288
"1858","Non Indigenous",3103
"1859","Non Indigenous",1461
"1860","Non Indigenous",771
"1861","Non Indigenous",791
"1862","Non Indigenous",730
"1863","Non Indigenous",2860
"1864","Indigenous",2648
"1865","Non Indigenous",2490
"1866","Indigenous",993
"1867","Non Indigenous",2113
"1868","Non Indigenous",1007
"1869","Indigenous",1211
"1870","Non Indigenous",2922
"1871","Non Indigenous",2556
"1872","Indigenous",2009
"1873","Non Indigenous",2855
"1874","Non Indigenous",1584
"1875","Non Indigenous",2616
"1876","Non Indigenous",1461
"1877","Indigenous",2436
"1878","Non Indigenous",1778
"1879","Non Indigenous",2035
"1880","Indigenous",843
"1881","Non Indigenous",914
"1882","Indigenous",2255
"1883","Non Indigenous",1583
"1884","Non Indigenous",1704
"1885","Non Indigenous",1096
"1886","Non Indigenous",1399
"1887","Indigenous",2741
"1888","Non Indigenous",2861
"1889","Indigenous",3652
"1890","Non Indigenous",731
"1891","Non Indigenous",730
"1892","Non Indigenous",2009
"1893","Non Indigenous",730
"1894","Non Indigenous",1581
"1895","Non Indigenous",1827
"1896","Non Indigenous",3576
"1897","Non Indigenous",1112
"1898","Non Indigenous",1431
"1899","Non Indigenous",1096
"1900","Indigenous",1642
"1901","Indigenous",1192
"1902","Indigenous",1911
"1903","Non Indigenous",730
"1904","Non Indigenous",2690
"1905","Non Indigenous",890
"1906","Non Indigenous",1735
"1907","Non Indigenous",1461
"1908","Non Indigenous",911
"1909","Indigenous",1461
"1910","Non Indigenous",914
"1911","Non Indigenous",1095
"1912","Non Indigenous",730
"1913","Non Indigenous",2327
"1914","Non Indigenous",731
"1915","Indigenous",2161
"1916","Non Indigenous",731
"1917","Non Indigenous",1065
"1918","Indigenous",1949
"1919","Non Indigenous",1581
"1920","Non Indigenous",983
"1921","Non Indigenous",1259
"1922","Non Indigenous",3105
"1923","Indigenous",840
"1924","Indigenous",731
"1925","Non Indigenous",2124
"1926","Non Indigenous",2010
"1927","Indigenous",896
"1928","Non Indigenous",912
"1929","Non Indigenous",1461
"1930","Non Indigenous",2038
"1931","Non Indigenous",1826
"1932","Non Indigenous",1826
"1933","Non Indigenous",730
"1934","Non Indigenous",731
"1935","Indigenous",826
"1936","Non Indigenous",912
"1937","Indigenous",1525
"1938","Non Indigenous",1522
"1939","Indigenous",1065
"1940","Non Indigenous",1461
"1941","Non Indigenous",1826
"1942","Indigenous",2160
"1943","Non Indigenous",1644
"1944","Indigenous",1521
"1945","Non Indigenous",1278
"1946","Non Indigenous",1096
"1947","Indigenous",731
"1948","Non Indigenous",911
"1949","Non Indigenous",4383
"1950","Non Indigenous",3667
"1951","Indigenous",731
"1952","Non Indigenous",1127
"1953","Non Indigenous",3056
"1954","Non Indigenous",2556
"1955","Non Indigenous",1369
"1956","Non Indigenous",1278
"1957","Non Indigenous",2099
"1958","Indigenous",2557
"1959","Indigenous",735
"1960","Non Indigenous",973
"1961","Non Indigenous",5138
"1962","Indigenous",790
"1963","Non Indigenous",6970
"1964","Non Indigenous",7275
"1965","Non Indigenous",972
"1966","Indigenous",912
"1967","Indigenous",730
"1968","Non Indigenous",1672
"1969","Indigenous",731
"1970","Indigenous",730
"1971","Non Indigenous",2431
"1972","Non Indigenous",730
"1973","Indigenous",1461
"1974","Indigenous",1879
"1975","Non Indigenous",1461
"1976","Non Indigenous",1695
"1977","Indigenous",1280
"1978","Non Indigenous",3471
"1979","Non Indigenous",912
"1980","Indigenous",1198
"1981","Indigenous",2556
"1982","Indigenous",1461
"1983","Non Indigenous",1789
"1984","Non Indigenous",3184
"1985","Non Indigenous",1323
"1986","Indigenous",912
"1987","Non Indigenous",853
"1988","Non Indigenous",793
"1989","Indigenous",3212
"1990","Non Indigenous",2946
"1991","Non Indigenous",4692
"1992","Non Indigenous",2390
"1993","Indigenous",5479
"1994","Non Indigenous",1338
"1995","Non Indigenous",2372
"1996","Non Indigenous",3105
"1997","Indigenous",1247
"1998","Non Indigenous",4640
"1999","Non Indigenous",1256
"2000","Non Indigenous",1430
"2001","Non Indigenous",1080
"2002","Non Indigenous",912
"2003","Indigenous",1096
"2004","Indigenous",3703
"2005","Non Indigenous",731
"2006","Non Indigenous",1223
"2007","Non Indigenous",2008
"2008","Non Indigenous",1083
"2009","Indigenous",747
"2010","Indigenous",1594
"2011","Non Indigenous",984
"2012","Non Indigenous",4322
"2013","Non Indigenous",798
"2014","Non Indigenous",1278
"2015","Non Indigenous",854
"2016","Non Indigenous",2556
"2017","Indigenous",4442
"2018","Non Indigenous",1858
"2019","Non Indigenous",775
"2020","Non Indigenous",912
"2021","Indigenous",732
"2022","Non Indigenous",2375
"2023","Non Indigenous",2557
"2024","Indigenous",1605
"2025","Non Indigenous",3653
"2026","Non Indigenous",822
"2027","Non Indigenous",908
"2028","Non Indigenous",1146
"2029","Non Indigenous",1339
"2030","Indigenous",907
"2031","Non Indigenous",9131
"2032","Non Indigenous",1098
"2033","Non Indigenous",2403
"2034","Non Indigenous",730
"2035","Non Indigenous",2177
"2036","Indigenous",1104
"2037","Non Indigenous",1096
"2038","Non Indigenous",2556
"2039","Non Indigenous",1461
"2040","Non Indigenous",762
"2041","Non Indigenous",962
"2042","Non Indigenous",1124
"2043","Non Indigenous",4383
"2044","Non Indigenous",3287
"2045","Indigenous",8296
"2046","Non Indigenous",1826
"2047","Non Indigenous",3742
"2048","Non Indigenous",2536
"2049","Non Indigenous",731
"2050","Non Indigenous",1947
"2051","Non Indigenous",792
"2052","Non Indigenous",1126
"2053","Indigenous",1280
"2054","Non Indigenous",1096
"2055","Indigenous",761
"2056","Indigenous",1096
"2057","Non Indigenous",1231
"2058","Indigenous",1096
"2059","Indigenous",1357
"2060","Non Indigenous",869
"2061","Non Indigenous",1096
"2062","Non Indigenous",1653
"2063","Non Indigenous",1430
"2064","Non Indigenous",747
"2065","Non Indigenous",1826
"2066","Indigenous",854
"2067","Non Indigenous",1095
"2068","Non Indigenous",3287
"2069","Indigenous",2192
"2070","Non Indigenous",2253
"2071","Indigenous",760
"2072","Non Indigenous",730
"2073","Indigenous",1764
"2074","Indigenous",2557
"2075","Non Indigenous",1262
"2076","Non Indigenous",730
"2077","Non Indigenous",822
"2078","Indigenous",731
"2079","Non Indigenous",1231
"2080","Non Indigenous",730
"2081","Non Indigenous",1141
"2082","Non Indigenous",3621
"2083","Non Indigenous",730
"2084","Non Indigenous",2283
"2085","Indigenous",3818
"2086","Non Indigenous",2405
"2087","Non Indigenous",1096
"2088","Non Indigenous",4017
"2089","Non Indigenous",1095
"2090","Non Indigenous",730
"2091","Non Indigenous",6349
"2092","Indigenous",852
"2093","Non Indigenous",731
"2094","Non Indigenous",1218
"2095","Non Indigenous",730
"2096","Indigenous",1221
"2097","Non Indigenous",9088
"2098","Non Indigenous",1327
"2099","Non Indigenous",731
"2100","Indigenous",2315
"2101","Non Indigenous",821
"2102","Indigenous",857
"2103","Non Indigenous",4657
"2104","Non Indigenous",2557
"2105","Non Indigenous",971
"2106","Indigenous",1199
"2107","Non Indigenous",730
"2108","Non Indigenous",2192
"2109","Non Indigenous",2451
"2110","Non Indigenous",913
"2111","Indigenous",731
"2112","Non Indigenous",1096
"2113","Non Indigenous",760
"2114","Indigenous",731
"2115","Non Indigenous",914
"2116","Non Indigenous",730
"2117","Non Indigenous",2141
"2118","Indigenous",1764
"2119","Non Indigenous",1035
"2120","Non Indigenous",836
"2121","Non Indigenous",5245
"2122","Non Indigenous",1369
"2123","Non Indigenous",820
"2124","Non Indigenous",731
"2125","Non Indigenous",1096
"2126","Non Indigenous",2374
"2127","Non Indigenous",2557
"2128","Non Indigenous",1080
"2129","Indigenous",1279
"2130","Non Indigenous",1826
"2131","Non Indigenous",1279
"2132","Non Indigenous",2026
"2133","Non Indigenous",1642
"2134","Non Indigenous",3380
"2135","Indigenous",3464
"2136","Indigenous",2557
"2137","Non Indigenous",2010
"2138","Non Indigenous",1728
"2139","Non Indigenous",1461
"2140","Indigenous",1491
"2141","Non Indigenous",1381
"2142","Non Indigenous",730
"2143","Indigenous",2191
"2144","Indigenous",789
"2145","Indigenous",902
"2146","Non Indigenous",2376
"2147","Non Indigenous",912
"2148","Indigenous",1095
"2149","Non Indigenous",731
"2150","Indigenous",2237
"2151","Non Indigenous",777
"2152","Non Indigenous",1461
"2153","Non Indigenous",2434
"2154","Non Indigenous",1441
"2155","Non Indigenous",915
"2156","Non Indigenous",1400
"2157","Non Indigenous",2557
"2158","Non Indigenous",1765
"2159","Indigenous",764
"2160","Non Indigenous",2132
"2161","Indigenous",1096
"2162","Indigenous",1584
"2163","Indigenous",1409
"2164","Non Indigenous",730
"2165","Non Indigenous",761
"2166","Indigenous",1279
"2167","Non Indigenous",1826
"2168","Non Indigenous",3287
"2169","Non Indigenous",730
"2170","Indigenous",1045
"2171","Non Indigenous",1917
"2172","Non Indigenous",2405
"2173","Non Indigenous",1510
"2174","Non Indigenous",884
"2175","Non Indigenous",3713
"2176","Indigenous",1822
"2177","Non Indigenous",1297
"2178","Non Indigenous",5113
"2179","Non Indigenous",1461
"2180","Indigenous",3683
"2181","Non Indigenous",966
"2182","Non Indigenous",731
"2183","Non Indigenous",2941
"2184","Non Indigenous",882
"2185","Non Indigenous",2451
"2186","Non Indigenous",731
"2187","Non Indigenous",823
"2188","Non Indigenous",1706
"2189","Indigenous",1624
"2190","Indigenous",1885
"2191","Non Indigenous",904
"2192","Non Indigenous",990
"2193","Non Indigenous",1614
"2194","Indigenous",2389
"2195","Indigenous",1827
"2196","Non Indigenous",976
"2197","Non Indigenous",1340
"2198","Non Indigenous",846
"2199","Non Indigenous",2557
"2200","Indigenous",1096
"2201","Non Indigenous",2125
"2202","Non Indigenous",730
"2203","Non Indigenous",913
"2204","Non Indigenous",911
"2205","Indigenous",2922
"2206","Indigenous",1888
"2207","Indigenous",1875
"2208","Non Indigenous",987
"2209","Indigenous",3901
"2210","Non Indigenous",853
"2211","Non Indigenous",1096
"2212","Non Indigenous",1035
"2213","Non Indigenous",1268
"2214","Non Indigenous",1095
"2215","Non Indigenous",1065
"2216","Non Indigenous",1411
"2217","Non Indigenous",2557
"2218","Non Indigenous",4383
"2219","Non Indigenous",3652
"2220","Indigenous",787
"2221","Non Indigenous",4905
"2222","Non Indigenous",1787
"2223","Non Indigenous",1906
"2224","Non Indigenous",1461
"2225","Non Indigenous",6940
"2226","Non Indigenous",922
"2227","Non Indigenous",1006
"2228","Non Indigenous",911
"2229","Non Indigenous",5114
"2230","Indigenous",914
"2231","Non Indigenous",1272
"2232","Non Indigenous",4263
"2233","Indigenous",5114
"2234","Non Indigenous",1598
"2235","Non Indigenous",1757
"2236","Non Indigenous",1826
"2237","Non Indigenous",2229
"2238","Indigenous",731
"2239","Indigenous",2557
"2240","Non Indigenous",2922
"2241","Indigenous",1826
"2242","Non Indigenous",731
"2243","Non Indigenous",791
"2244","Non Indigenous",1771
"2245","Non Indigenous",1826
"2246","Non Indigenous",2556
"2247","Non Indigenous",7396
"2248","Non Indigenous",915
"2249","Non Indigenous",823
"2250","Non Indigenous",1277
"2251","Indigenous",2611
"2252","Non Indigenous",1096
"2253","Indigenous",2039
"2254","Non Indigenous",2922
"2255","Non Indigenous",731
"2256","Non Indigenous",1003
"2257","Non Indigenous",853
"2258","Non Indigenous",1096
"2259","Indigenous",1550
"2260","Non Indigenous",1096
"2261","Non Indigenous",914
"2262","Non Indigenous",820
"2263","Indigenous",805
"2264","Non Indigenous",4383
"2265","Non Indigenous",2191
"2266","Indigenous",4585
"2267","Non Indigenous",782
"2268","Non Indigenous",6209
"2269","Non Indigenous",2501
"2270","Non Indigenous",2192
"2271","Indigenous",1020
"2272","Non Indigenous",2617
"2273","Indigenous",730
"2274","Non Indigenous",1553
"2275","Non Indigenous",3287
"2276","Non Indigenous",730
"2277","Non Indigenous",730
"2278","Indigenous",2465
"2279","Non Indigenous",1216
"2280","Non Indigenous",2557
"2281","Indigenous",1017
"2282","Non Indigenous",731
"2283","Non Indigenous",730
"2284","Non Indigenous",1451
"2285","Indigenous",1461
"2286","Non Indigenous",792
"2287","Non Indigenous",913
"2288","Non Indigenous",1461
"2289","Indigenous",1125
"2290","Indigenous",1351
"2291","Non Indigenous",3377
"2292","Indigenous",1461
"2293","Non Indigenous",1280
"2294","Non Indigenous",1519
"2295","Non Indigenous",3500
"2296","Non Indigenous",2983
"2297","Indigenous",2602
"2298","Non Indigenous",1461
"2299","Indigenous",3653
"2300","Indigenous",7671
"2301","Non Indigenous",1785
"2302","Non Indigenous",2192
"2303","Non Indigenous",1461
"2304","Non Indigenous",1645
"2305","Non Indigenous",731
"2306","Non Indigenous",4749
"2307","Non Indigenous",1096
"2308","Non Indigenous",731
"2309","Non Indigenous",1116
"2310","Non Indigenous",2830
"2311","Non Indigenous",1142
"2312","Indigenous",1338
"2313","Non Indigenous",3287
"2314","Non Indigenous",851
"2315","Non Indigenous",2922
"2316","Indigenous",1280
"2317","Non Indigenous",1095
"2318","Non Indigenous",1218
"2319","Non Indigenous",4459
"2320","Non Indigenous",5846
"2321","Non Indigenous",1385
"2322","Non Indigenous",1250
"2323","Indigenous",1748
"2324","Non Indigenous",1826
"2325","Indigenous",912
"2326","Non Indigenous",1219
"2327","Non Indigenous",1096
"2328","Indigenous",2983
"2329","Non Indigenous",3287
"2330","Non Indigenous",1856
"2331","Non Indigenous",1550
"2332","Non Indigenous",1026
"2333","Non Indigenous",2119
"2334","Non Indigenous",1065
"2335","Non Indigenous",6440
"2336","Non Indigenous",2922
"2337","Indigenous",3652
"2338","Non Indigenous",4383
"2339","Non Indigenous",914
"2340","Non Indigenous",1187
"2341","Indigenous",1826
"2342","Non Indigenous",823
"2343","Non Indigenous",1088
"2344","Indigenous",1339
"2345","Non Indigenous",1095
"2346","Indigenous",1308
"2347","Non Indigenous",1704
"2348","Indigenous",1384
"2349","Indigenous",4018
"2350","Indigenous",1049
"2351","Non Indigenous",1429
"2352","Indigenous",1491
"2353","Non Indigenous",3370
"2354","Non Indigenous",1094
"2355","Indigenous",958
"2356","Non Indigenous",4565
"2357","Non Indigenous",1164
"2358","Indigenous",849
"2359","Non Indigenous",1642
"2360","Non Indigenous",2010
"2361","Indigenous",730
"2362","Non Indigenous",3066
"2363","Non Indigenous",1096
"2364","Non Indigenous",731
"2365","Non Indigenous",1391
"2366","Non Indigenous",2222
"2367","Indigenous",1461
"2368","Non Indigenous",731
"2369","Non Indigenous",3181
"2370","Non Indigenous",1764
"2371","Non Indigenous",4199
"2372","Non Indigenous",1280
"2373","Indigenous",1338
"2374","Non Indigenous",837
"2375","Non Indigenous",910
"2376","Non Indigenous",731
"2377","Non Indigenous",1461
"2378","Non Indigenous",1369
"2379","Non Indigenous",2009
"2380","Indigenous",1826
"2381","Non Indigenous",1461
"2382","Indigenous",1781
"2383","Non Indigenous",3506
"2384","Non Indigenous",1223
"2385","Non Indigenous",2557
"2386","Non Indigenous",913
"2387","Non Indigenous",1115
"2388","Indigenous",1345
"2389","Indigenous",3199
"2390","Indigenous",3226
"2391","Non Indigenous",1004
"2392","Non Indigenous",1643
"2393","Non Indigenous",3711
"2394","Non Indigenous",1461
"2395","Indigenous",823
"2396","Non Indigenous",1340
"2397","Indigenous",1705
"2398","Non Indigenous",1461
"2399","Non Indigenous",918
"2400","Indigenous",1734
"2401","Indigenous",841
"2402","Non Indigenous",736
"2403","Non Indigenous",731
"2404","Non Indigenous",871
"2405","Non Indigenous",2403
"2406","Non Indigenous",1619
"2407","Indigenous",2007
"2408","Non Indigenous",1388
"2409","Non Indigenous",2312
"2410","Non Indigenous",731
"2411","Non Indigenous",2045
"2412","Indigenous",3653
"2413","Non Indigenous",1323
"2414","Non Indigenous",3067
"2415","Non Indigenous",9131
"2416","Non Indigenous",730
"2417","Non Indigenous",1918
"2418","Non Indigenous",823
"2419","Indigenous",914
"2420","Non Indigenous",4201
"2421","Non Indigenous",731
"2422","Non Indigenous",3653
"2423","Non Indigenous",819
"2424","Non Indigenous",973
"2425","Non Indigenous",731
"2426","Non Indigenous",1461
"2427","Non Indigenous",3834
"2428","Non Indigenous",733
"2429","Non Indigenous",730
"2430","Non Indigenous",1552
"2431","Non Indigenous",793
"2432","Non Indigenous",1948
"2433","Non Indigenous",2587
"2434","Indigenous",1402
"2435","Non Indigenous",730
"2436","Indigenous",822
"2437","Indigenous",2465
"2438","Non Indigenous",1305
"2439","Non Indigenous",1390
"2440","Non Indigenous",1645
"2441","Non Indigenous",1827
"2442","Non Indigenous",915
"2443","Non Indigenous",820
"2444","Non Indigenous",1507
"2445","Non Indigenous",1095
"2446","Indigenous",1096
"2447","Non Indigenous",2192
"2448","Non Indigenous",1826
"2449","Non Indigenous",2922
"2450","Non Indigenous",1125
"2451","Non Indigenous",2683
"2452","Non Indigenous",12462
"2453","Non Indigenous",1096
"2454","Non Indigenous",1705
"2455","Indigenous",4050
"2456","Indigenous",1887
"2457","Indigenous",1217
"2458","Non Indigenous",1461
"2459","Indigenous",1004
"2460","Non Indigenous",4020
"2461","Non Indigenous",1187
"2462","Indigenous",2490
"2463","Non Indigenous",3652
"2464","Non Indigenous",3106
"2465","Non Indigenous",1452
"2466","Non Indigenous",3681
"2467","Non Indigenous",1779
"2468","Non Indigenous",2425
"2469","Non Indigenous",912
"2470","Non Indigenous",869
"2471","Indigenous",3223
"2472","Non Indigenous",2171
"2473","Non Indigenous",748
"2474","Non Indigenous",822
"2475","Non Indigenous",730
"2476","Non Indigenous",1826
"2477","Indigenous",896
"2478","Indigenous",759
"2479","Indigenous",1399
"2480","Non Indigenous",1369
"2481","Non Indigenous",1826
"2482","Non Indigenous",912
"2483","Non Indigenous",2738
"2484","Non Indigenous",1096
"2485","Non Indigenous",1095
"2486","Non Indigenous",2411
"2487","Non Indigenous",2145
"2488","Non Indigenous",2563
"2489","Non Indigenous",1642
"2490","Indigenous",2556
"2491","Non Indigenous",1734
"2492","Non Indigenous",3652
"2493","Non Indigenous",5526
"2494","Non Indigenous",1713
"2495","Non Indigenous",1916
"2496","Non Indigenous",939
"2497","Non Indigenous",1461
"2498","Non Indigenous",4383
"2499","Non Indigenous",2055
"2500","Indigenous",835
"2501","Non Indigenous",1461
"2502","Indigenous",1826
"2503","Non Indigenous",1096
"2504","Non Indigenous",961
"2505","Indigenous",3652
"2506","Non Indigenous",1415
"2507","Non Indigenous",1096
"2508","Non Indigenous",1461
"2509","Non Indigenous",1096
"2510","Non Indigenous",915
"2511","Non Indigenous",1095
"2512","Indigenous",730
"2513","Non Indigenous",2350
"2514","Non Indigenous",2461
"2515","Indigenous",761
"2516","Non Indigenous",1552
"2517","Non Indigenous",1815
"2518","Indigenous",1946
"2519","Non Indigenous",730
"2520","Indigenous",1672
"2521","Non Indigenous",793
"2522","Non Indigenous",1126
"2523","Non Indigenous",1126
"2524","Non Indigenous",730
"2525","Non Indigenous",2344
"2526","Non Indigenous",1991
"2527","Non Indigenous",1826
"2528","Non Indigenous",3835
"2529","Indigenous",3653
"2530","Non Indigenous",911
"2531","Non Indigenous",815
"2532","Non Indigenous",1964
"2533","Non Indigenous",2006
"2534","Non Indigenous",1918
"2535","Indigenous",3774
"2536","Non Indigenous",1461
"2537","Non Indigenous",1643
"2538","Non Indigenous",2810
"2539","Non Indigenous",848
"2540","Non Indigenous",731
"2541","Non Indigenous",2039
"2542","Non Indigenous",806
"2543","Non Indigenous",730
"2544","Non Indigenous",1280
"2545","Non Indigenous",2191
"2546","Non Indigenous",2008
"2547","Indigenous",730
"2548","Non Indigenous",1826
"2549","Non Indigenous",1256
"2550","Indigenous",777
"2551","Non Indigenous",850
"2552","Indigenous",3197
"2553","Non Indigenous",2983
"2554","Indigenous",1187
"2555","Non Indigenous",1780
"2556","Non Indigenous",2250
"2557","Non Indigenous",730
"2558","Indigenous",2140
"2559","Non Indigenous",1065
"2560","Non Indigenous",1095
"2561","Non Indigenous",1705
"2562","Indigenous",1279
"2563","Non Indigenous",732
"2564","Indigenous",1594
"2565","Indigenous",1002
"2566","Indigenous",1096
"2567","Non Indigenous",2922
"2568","Non Indigenous",2480
"2569","Non Indigenous",3500
"2570","Non Indigenous",913
"2571","Non Indigenous",3502
"2572","Non Indigenous",1300
"2573","Non Indigenous",731
"2574","Non Indigenous",1461
"2575","Non Indigenous",1260
"2576","Non Indigenous",1598
"2577","Non Indigenous",914
"2578","Non Indigenous",2557
"2579","Indigenous",1859
"2580","Non Indigenous",790
"2581","Non Indigenous",2373
"2582","Non Indigenous",2922
"2583","Non Indigenous",8763
"2584","Non Indigenous",1106
"2585","Non Indigenous",1538
"2586","Indigenous",947
"2587","Non Indigenous",1277
"2588","Non Indigenous",762
"2589","Indigenous",2191
"2590","Indigenous",1803
"2591","Non Indigenous",1827
"2592","Non Indigenous",1481
"2593","Non Indigenous",1034
"2594","Indigenous",1333
"2595","Indigenous",861
"2596","Indigenous",2132
"2597","Non Indigenous",1096
"2598","Non Indigenous",2922
"2599","Non Indigenous",1339
"2600","Indigenous",1826
"2601","Indigenous",1248
"2602","Non Indigenous",731
"2603","Indigenous",924
"2604","Non Indigenous",3897
"2605","Indigenous",913
"2606","Non Indigenous",1826
"2607","Indigenous",1826
"2608","Non Indigenous",1196
"2609","Non Indigenous",1278
"2610","Non Indigenous",959
"2611","Non Indigenous",1090
"2612","Non Indigenous",5479
"2613","Non Indigenous",1152
"2614","Indigenous",844
"2615","Non Indigenous",1826
"2616","Non Indigenous",2464
"2617","Indigenous",1218
"2618","Non Indigenous",4108
"2619","Non Indigenous",1050
"2620","Non Indigenous",2789
"2621","Non Indigenous",851
"2622","Indigenous",1698
"2623","Non Indigenous",914
"2624","Indigenous",943
"2625","Non Indigenous",1377
"2626","Non Indigenous",1020
"2627","Non Indigenous",1096
"2628","Non Indigenous",1280
"2629","Non Indigenous",4413
"2630","Indigenous",1460
"2631","Non Indigenous",1644
"2632","Non Indigenous",4049
"2633","Non Indigenous",1084
"2634","Non Indigenous",912
"2635","Non Indigenous",3422
"2636","Indigenous",1277
"2637","Non Indigenous",7001
"2638","Non Indigenous",4595
"2639","Non Indigenous",1278
"2640","Indigenous",2922
"2641","Non Indigenous",1612
"2642","Non Indigenous",2116
"2643","Non Indigenous",731
"2644","Non Indigenous",1095
"2645","Non Indigenous",2557
"2646","Non Indigenous",2008
"2647","Non Indigenous",1095
"2648","Non Indigenous",912
"2649","Non Indigenous",1581
"2650","Indigenous",1249
"2651","Non Indigenous",1126
"2652","Non Indigenous",1400
"2653","Non Indigenous",2253
"2654","Indigenous",1228
"2655","Indigenous",2161
"2656","Non Indigenous",846
"2657","Non Indigenous",1219
"2658","Indigenous",1387
"2659","Non Indigenous",890
"2660","Indigenous",734
"2661","Indigenous",912
"2662","Non Indigenous",1095
"2663","Non Indigenous",3653
"2664","Non Indigenous",1732
"2665","Non Indigenous",2191
"2666","Non Indigenous",1096
"2667","Non Indigenous",973
"2668","Indigenous",975
"2669","Non Indigenous",2752
"2670","Indigenous",731
"2671","Non Indigenous",731
"2672","Non Indigenous",1643
"2673","Indigenous",868
"2674","Non Indigenous",1308
"2675","Non Indigenous",731
"2676","Indigenous",2806
"2677","Non Indigenous",3653
"2678","Non Indigenous",1461
"2679","Non Indigenous",914
"2680","Non Indigenous",2523
"2681","Non Indigenous",1496
"2682","Indigenous",859
"2683","Non Indigenous",890
"2684","Non Indigenous",1583
"2685","Non Indigenous",1315
"2686","Non Indigenous",854
"2687","Non Indigenous",4383
"2688","Non Indigenous",730
"2689","Non Indigenous",730
"2690","Non Indigenous",1643
"2691","Non Indigenous",3591
"2692","Non Indigenous",2557
"2693","Non Indigenous",2376
"2694","Non Indigenous",1307
"2695","Non Indigenous",917
"2696","Non Indigenous",2373
"2697","Non Indigenous",2738
"2698","Non Indigenous",1461
"2699","Non Indigenous",1461
"2700","Indigenous",1078
"2701","Non Indigenous",1095
"2702","Non Indigenous",1916
"2703","Indigenous",869
"2704","Non Indigenous",9618
"2705","Indigenous",843
"2706","Non Indigenous",776
"2707","Indigenous",2102
"2708","Non Indigenous",1644
"2709","Non Indigenous",2710
"2710","Indigenous",1400
"2711","Non Indigenous",2100
"2712","Non Indigenous",971
"2713","Non Indigenous",2072
"2714","Non Indigenous",1460
"2715","Non Indigenous",1461
"2716","Non Indigenous",730
"2717","Indigenous",1763
"2718","Indigenous",730
"2719","Non Indigenous",2250
"2720","Indigenous",1096
"2721","Indigenous",1004
"2722","Indigenous",1790
"2723","Indigenous",730
"2724","Non Indigenous",2191
"2725","Indigenous",1827
"2726","Non Indigenous",2587
"2727","Non Indigenous",2480
"2728","Non Indigenous",1188
"2729","Non Indigenous",1278
"2730","Non Indigenous",2556
"2731","Non Indigenous",1340
"2732","Non Indigenous",3734
"2733","Non Indigenous",3820
"2734","Non Indigenous",2556
"2735","Indigenous",1462
"2736","Non Indigenous",1126
"2737","Indigenous",2247
"2738","Non Indigenous",901
"2739","Non Indigenous",1584
"2740","Indigenous",946
"2741","Non Indigenous",847
"2742","Non Indigenous",2071
"2743","Non Indigenous",1096
"2744","Non Indigenous",1803
"2745","Non Indigenous",3237
"2746","Non Indigenous",859
"2747","Indigenous",4410
"2748","Non Indigenous",2168
"2749","Non Indigenous",1642
"2750","Non Indigenous",2090
"2751","Non Indigenous",1157
"2752","Non Indigenous",2268
"2753","Non Indigenous",4688
"2754","Non Indigenous",731
"2755","Non Indigenous",2802
"2756","Indigenous",1341
"2757","Non Indigenous",1127
"2758","Indigenous",1277
"2759","Non Indigenous",915
"2760","Non Indigenous",2852
"2761","Indigenous",1793
"2762","Non Indigenous",732
"2763","Indigenous",2192
"2764","Non Indigenous",2677
"2765","Non Indigenous",1369
"2766","Indigenous",730
"2767","Non Indigenous",1095
"2768","Non Indigenous",763
"2769","Indigenous",894
"2770","Non Indigenous",1415
"2771","Non Indigenous",1461
"2772","Non Indigenous",3438
"2773","Non Indigenous",730
"2774","Non Indigenous",2374
"2775","Non Indigenous",2191
"2776","Non Indigenous",1096
"2777","Non Indigenous",5113
"2778","Non Indigenous",1888
"2779","Indigenous",995
"2780","Indigenous",1461
"2781","Non Indigenous",1827
"2782","Non Indigenous",1009
"2783","Non Indigenous",761
"2784","Non Indigenous",3653
"2785","Non Indigenous",2070
"2786","Non Indigenous",1277
"2787","Non Indigenous",2373
"2788","Indigenous",731
"2789","Non Indigenous",5479
"2790","Non Indigenous",1644
"2791","Non Indigenous",16557
"2792","Non Indigenous",1510
"2793","Non Indigenous",1179
"2794","Non Indigenous",852
"2795","Indigenous",730
"2796","Non Indigenous",1225
"2797","Non Indigenous",4140
"2798","Non Indigenous",1826
"2799","Indigenous",1429
"2800","Non Indigenous",1826
"2801","Non Indigenous",1114
"2802","Non Indigenous",913
"2803","Non Indigenous",1461
"2804","Indigenous",2649
"2805","Indigenous",1157
"2806","Non Indigenous",730
"2807","Indigenous",2847
"2808","Indigenous",1461
"2809","Non Indigenous",6498
"2810","Non Indigenous",1994
"2811","Non Indigenous",1872
"2812","Non Indigenous",1888
"2813","Indigenous",732
"2814","Indigenous",3536
"2815","Non Indigenous",1096
"2816","Non Indigenous",736
"2817","Non Indigenous",5479
"2818","Non Indigenous",748
"2819","Non Indigenous",3358
"2820","Non Indigenous",2078
