0,1,2,3,4,5,6,7,8,9,10,11
2832,WHITE,Non Indigenous,MALE,64,Incarcerated,,DETERMINATE,1510,ONTARIO,DIVORCED,PROT NON-SPEC
2833,WHITE,Non Indigenous,MALE,50,Supervised,SR,DETERMINATE,884,QUEBEC,COMMON LAW,CATH NON-SPEC
2834,WHITE,Non Indigenous,MALE,43,Supervised,DP,DETERMINATE,3713,ALBERTA,MARRIED,CATHOLIC - ROMA
2835,NORTH AMERICAN,Indigenous,MALE,36,Incarcerated,,DETERMINATE,1822,MANITOBA,SINGLE,NATIVE SPIRITUA
2836,WHITE,Non Indigenous,MALE,45,Supervised,FP,DETERMINATE,1297,QUEBEC,COMMON LAW,CATH NON-SPEC
2837,WHITE,Non Indigenous,MALE,54,Supervised,FP,DETERMINATE,5113,ONTARIO,MARRIED,PROT NON-SPEC
2838,WHITE,Non Indigenous,MALE,72,Incarcerated,,DETERMINATE,1461,ALBERTA,SINGLE,CATHOLIC - ROMA
2839,NORTH AMERICAN,Indigenous,MALE,44,Supervised,LTSO,DETERMINATE,3683,ONTARIO,SINGLE,OTHER
2840,WHITE,Non Indigenous,MALE,28,Supervised,SR,DETERMINATE,966,ALBERTA,COMMON LAW,NOT STATED
2841,WHITE,Non Indigenous,MALE,29,Supervised,FP,DETERMINATE,731,ALBERTA,SINGLE,ANGLICAN(EPIS.
2842,BLACK,Non Indigenous,MALE,37,Supervised,FP,DETERMINATE,2941,ONTARIO,COMMON LAW,RASTAFARIAN
2843,WHITE,Non Indigenous,MALE,41,Supervised,SR,DETERMINATE,882,ALBERTA,SEPARATED,CATH NON-SPEC
2844,WHITE,Non Indigenous,MALE,26,Incarcerated,,DETERMINATE,2451,MANITOBA,SINGLE,CATHOLIC - ROMA
2845,NORTH AMERICAN,Indigenous,MALE,36,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,NATIVE SPIRITUA
2846,WHITE,Non Indigenous,MALE,28,Supervised,FP,DETERMINATE,731,ONTARIO,COMMON LAW,CATHOLIC - ROMA
2847,WHITE,Non Indigenous,MALE,23,Supervised,FP,DETERMINATE,823,NOVA SCOTIA,SINGLE,CATHOLIC - ROMA
2848,WHITE,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,1706,BRITISH COLUMBIA,SINGLE,CATH NON-SPEC
2849,WHITE,Non Indigenous,MALE,60,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,DIVORCED,NOT STATED
2850,NORTH AMERICAN,Indigenous,MALE,25,Incarcerated,,DETERMINATE,1624,NEW BRUNSWICK,SINGLE,OTHER
2851,BLACK,Non Indigenous,MALE,26,Incarcerated,,INDETERMINATE,0,ONTARIO,COMMON LAW,CHRI NON SPEC
2852,METIS,Indigenous,MALE,26,Incarcerated,,DETERMINATE,1885,ALBERTA,SINGLE,NOT STATED
2853,BLACK,Non Indigenous,MALE,35,Incarcerated,,DETERMINATE,904,ONTARIO,NOT DETERMINED,MUSLIM
2854,WHITE,Non Indigenous,MALE,41,Supervised,SR,DETERMINATE,990,ALBERTA,SINGLE,NONE
2855,WHITE,Non Indigenous,MALE,58,Supervised,LTSO,DETERMINATE,1614,QUEBEC,DIVORCED,CATH NON-SPEC
2856,NORTH AMERICAN,Indigenous,MALE,23,Incarcerated,,DETERMINATE,2389,ALBERTA,UNKNOWN,
2857,NORTH AMERICAN,Indigenous,MALE,29,Incarcerated,,DETERMINATE,1827,SASKATCHEWAN,SINGLE,NOT STATED
2858,BLACK,Non Indigenous,MALE,36,Supervised,FP,DETERMINATE,976,QUEBEC,COMMON LAW,CATH NON-SPEC
2859,NORTH AMERICAN,Indigenous,MALE,35,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,WICCA
2860,WHITE,Non Indigenous,MALE,55,Incarcerated,,DETERMINATE,1340,QUEBEC,COMMON LAW,CATH NON-SPEC
2861,WHITE,Non Indigenous,MALE,31,Supervised,SR,DETERMINATE,846,NOVA SCOTIA,SINGLE,
2862,NORTH AMERICAN,Indigenous,FEMALE,38,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,NATIVE SPIRITUA
2863,WHITE,Non Indigenous,MALE,35,Supervised,SR,DETERMINATE,2557,NORTHWEST TERRITORIES,MARRIED,
2864,METIS,Indigenous,MALE,36,Incarcerated,,DETERMINATE,1096,QUEBEC,COMMON LAW,CATH NON-SPEC
2865,WHITE,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,2125,ONTARIO,SINGLE,MUSLIM
2866,WHITE,Non Indigenous,MALE,57,Incarcerated,,DETERMINATE,730,QUEBEC,SINGLE,CATH NON-SPEC
2867,ASI-E/SOUTHEAST,Non Indigenous,MALE,23,Supervised,FP,DETERMINATE,913,BRITISH COLUMBIA,SINGLE,CATH NON-SPEC
2868,WHITE,Non Indigenous,MALE,69,Incarcerated,,DETERMINATE,911,NEW BRUNSWICK,SINGLE,
2869,NORTH AMERICAN,Indigenous,FEMALE,32,Incarcerated,,DETERMINATE,2922,ALBERTA,COMMON LAW,
2870,WHITE,Non Indigenous,MALE,55,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,CHRI NON SPEC
2871,NORTH AMERICAN,Indigenous,MALE,37,Supervised,SR,DETERMINATE,1888,ONTARIO,MARRIED,NOT STATED
2872,METIS,Indigenous,MALE,38,Incarcerated,,DETERMINATE,1875,MANITOBA,SINGLE,NONE
2873,WHITE,Non Indigenous,MALE,77,Supervised,FP,INDETERMINATE,0,NOVA SCOTIA,MARRIED,PROT NON-SPEC
2874,WHITE,Non Indigenous,MALE,34,Incarcerated,,DETERMINATE,987,ONTARIO,MARRIED,MUSLIM
2875,NORTH AMERICAN,Indigenous,MALE,26,Incarcerated,,DETERMINATE,3901,ONTARIO,COMMON LAW,NATIVE SPIRITUA
2876,BLACK,Non Indigenous,MALE,33,Incarcerated,,INDETERMINATE,0,ONTARIO,COMMON LAW,MUSLIM
2877,WHITE,Non Indigenous,FEMALE,52,Supervised,FP,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
2878,WHITE,Non Indigenous,MALE,25,Supervised,DP,DETERMINATE,853,NOVA SCOTIA,COMMON LAW,
2879,WHITE,Non Indigenous,MALE,47,Supervised,DP,INDETERMINATE,0,ALBERTA,MARRIED,NONE
2880,WHITE,Non Indigenous,MALE,55,Supervised,FP,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
2881,BLACK,Non Indigenous,MALE,27,Incarcerated,,DETERMINATE,1096,ONTARIO,SEPARATED,CATH NON-SPEC
2882,WHITE,Non Indigenous,MALE,69,Supervised,DP,INDETERMINATE,0,BRITISH COLUMBIA,SEPARATED,CHRISTIAN REFOR
2883,WHITE,Non Indigenous,MALE,49,Incarcerated,,INDETERMINATE,0,ONTARIO,SEPARATED,CATHOLIC - ROMA
2884,WHITE,Non Indigenous,MALE,34,Supervised,SR,DETERMINATE,1035,QUEBEC,SINGLE,CATH NON-SPEC
2885,WHITE,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,1268,NEW BRUNSWICK,COMMON LAW,NOT STATED
2886,WHITE,Non Indigenous,MALE,32,Incarcerated,,DETERMINATE,1095,QUEBEC,SINGLE,CATH NON-SPEC
2887,METIS,Indigenous,FEMALE,35,Incarcerated,,INDETERMINATE,0,ALBERTA,SINGLE,CATHOLIC - ROMA
2888,WHITE,Non Indigenous,MALE,52,Incarcerated,,DETERMINATE,1065,QUEBEC,COMMON LAW,CATH NON-SPEC
2889,WHITE,Non Indigenous,MALE,71,Supervised,FP,DETERMINATE,1411,ALBERTA,SINGLE,NONE
2890,WHITE,Non Indigenous,FEMALE,36,Supervised,SR,DETERMINATE,2557,NFLD AND LAB,SINGLE,CATH NON-SPEC
2891,WHITE,Non Indigenous,MALE,38,Supervised,SR,DETERMINATE,4383,ONTARIO,COMMON LAW,CATHOLIC - ROMA
2892,BLACK,Non Indigenous,MALE,33,Supervised,SR,DETERMINATE,3652,NOVA SCOTIA,COMMON LAW,PHILAD.CHUR.GOD
2893,METIS,Indigenous,MALE,46,Incarcerated,,DETERMINATE,787,ALBERTA,SINGLE,CATH NON-SPEC
2894,WHITE,Non Indigenous,MALE,35,Supervised,SR,DETERMINATE,4905,QUEBEC,SINGLE,OTHER
2895,,Non Indigenous,MALE,56,Incarcerated,,DETERMINATE,1787,ONTARIO,UNKNOWN,
2896,WHITE,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,1906,ONTARIO,SINGLE,NONE
2897,WHITE,Non Indigenous,MALE,34,Supervised,FP,DETERMINATE,1461,MANITOBA,MARRIED,NONE
2898,WHITE,Non Indigenous,MALE,37,Incarcerated,,DETERMINATE,6940,ONTARIO,COMMON LAW,CATHOLIC - ROMA
2899,WHITE,Non Indigenous,MALE,41,Incarcerated,,DETERMINATE,922,ALBERTA,SINGLE,NONE
2900,WHITE,Non Indigenous,MALE,25,Incarcerated,,DETERMINATE,1006,ALBERTA,SINGLE,UNITED CHURCH
2901,WHITE,Non Indigenous,MALE,35,Supervised,FP,INDETERMINATE,0,ONTARIO,SINGLE,NONE
2902,BLACK,Non Indigenous,MALE,46,Incarcerated,,DETERMINATE,911,NOVA SCOTIA,SINGLE,NONE
2903,BLACK,Non Indigenous,MALE,41,Incarcerated,,DETERMINATE,5114,ONTARIO,SINGLE,SEVENTH DAY ADV
2904,METIS,Indigenous,MALE,25,Incarcerated,,DETERMINATE,914,ONTARIO,UNKNOWN,NATIVE SPIRITUA
2905,WHITE,Non Indigenous,MALE,30,Incarcerated,,DETERMINATE,1272,ALBERTA,SINGLE,NONE
2906,WHITE,Non Indigenous,MALE,33,Supervised,FP,DETERMINATE,4263,ALBERTA,SINGLE,NONE
2907,METIS,Indigenous,MALE,30,Incarcerated,,DETERMINATE,5114,SASKATCHEWAN,SINGLE,NOT STATED
2908,WHITE,Non Indigenous,MALE,26,Incarcerated,,DETERMINATE,1598,ALBERTA,COMMON LAW,NONE
2909,WHITE,Non Indigenous,MALE,50,Incarcerated,,DETERMINATE,1757,QUEBEC,SINGLE,CATH NON-SPEC
2910,WHITE,Non Indigenous,MALE,54,Incarcerated,,DETERMINATE,1826,BRITISH COLUMBIA,SINGLE,NONE
2911,,Non Indigenous,MALE,26,Incarcerated,,DETERMINATE,2229,MANITOBA,SINGLE,CATHOLIC - ROMA
2912,METIS,Indigenous,MALE,45,Supervised,SR,DETERMINATE,731,QUEBEC,SINGLE,CATH NON-SPEC
2913,NORTH AMERICAN,Indigenous,MALE,30,Incarcerated,,DETERMINATE,2557,BRITISH COLUMBIA,SINGLE,NOT STATED
2914,WHITE,Non Indigenous,MALE,63,Supervised,SR,DETERMINATE,2922,QUEBEC,MARRIED,CATH NON-SPEC
2915,NORTH AMERICAN,Indigenous,MALE,34,Supervised,DP,DETERMINATE,1826,BRITISH COLUMBIA,COMMON LAW,NOT STATED
2916,,Non Indigenous,MALE,25,Incarcerated,,DETERMINATE,731,ALBERTA,SINGLE,MUSLIM
2917,NORTH AMERICAN,Indigenous,MALE,63,Supervised,FP,INDETERMINATE,0,SASKATCHEWAN,SINGLE,CATH NON-SPEC
2918,WHITE,Non Indigenous,MALE,23,Incarcerated,,DETERMINATE,791,ALBERTA,COMMON LAW,
2919,WHITE,Non Indigenous,MALE,27,Incarcerated,,DETERMINATE,1771,ALBERTA,COMMON LAW,NONE
2920,BLACK,Non Indigenous,FEMALE,33,Supervised,SR,DETERMINATE,1826,ONTARIO,SINGLE,CHRI NON SPEC
2921,BLACK,Non Indigenous,MALE,28,Supervised,SR,DETERMINATE,2556,ONTARIO,COMMON LAW,RASTAFARIAN
2922,BLACK,Non Indigenous,MALE,39,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,MUSLIM
2923,WHITE,Non Indigenous,MALE,56,Incarcerated,,DETERMINATE,7396,NEW BRUNSWICK,SINGLE,MUSLIM
2924,LATIN AMERICAN,Non Indigenous,MALE,33,Incarcerated,,INDETERMINATE,0,ONTARIO,SINGLE,MUSLIM
2925,WHITE,Non Indigenous,MALE,50,Supervised,FP,DETERMINATE,915,QUEBEC,COMMON LAW,CATH NON-SPEC
2926,WHITE,Non Indigenous,MALE,48,Supervised,FP,INDETERMINATE,0,ONTARIO,SINGLE,PROT NON-SPEC
2927,WHITE,Non Indigenous,MALE,48,Incarcerated,,DETERMINATE,823,NEW BRUNSWICK,SINGLE,CATH NON-SPEC
2928,ARAB,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,1277,QUEBEC,COMMON LAW,HINDU
2929,NORTH AMERICAN,Indigenous,MALE,38,Incarcerated,,DETERMINATE,2611,BRITISH COLUMBIA,COMMON LAW,NONE
2930,WHITE,Non Indigenous,MALE,30,Incarcerated,,DETERMINATE,1096,QUEBEC,SINGLE,CATH NON-SPEC
2931,METIS,Indigenous,MALE,35,Incarcerated,,DETERMINATE,2039,QUEBEC,SINGLE,CATH NON-SPEC
2932,WHITE,Non Indigenous,MALE,42,Supervised,SR,DETERMINATE,2922,BRITISH COLUMBIA,SINGLE,NONE
2933,WHITE,Non Indigenous,MALE,30,Supervised,SR,DETERMINATE,731,ALBERTA,SINGLE,NOT STATED
2934,BLACK,Non Indigenous,MALE,70,Supervised,FP,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
2935,WHITE,Non Indigenous,MALE,52,Incarcerated,,DETERMINATE,1003,BRITISH COLUMBIA,SINGLE,NONE
2936,BLACK,Non Indigenous,MALE,33,Supervised,SR,DETERMINATE,853,ONTARIO,SINGLE,CHRI NON SPEC
2937,WHITE,Non Indigenous,MALE,36,Supervised,FP,DETERMINATE,1096,ONTARIO,SINGLE,NONE
2938,NORTH AMERICAN,Indigenous,MALE,25,Incarcerated,,DETERMINATE,1550,QUEBEC,COMMON LAW,CATH NON-SPEC
2939,WHITE,Non Indigenous,FEMALE,30,Supervised,FP,DETERMINATE,1096,ALBERTA,MARRIED,
2940,WHITE,Non Indigenous,MALE,22,Incarcerated,,DETERMINATE,914,QUEBEC,COMMON LAW,CATH NON-SPEC
2941,ARAB,Non Indigenous,MALE,36,Incarcerated,,DETERMINATE,820,QUEBEC,UNKNOWN,CATH NON-SPEC
2942,NORTH AMERICAN,Indigenous,MALE,41,Incarcerated,,DETERMINATE,805,ONTARIO,SINGLE,NATIVE SPIRITUA
2943,WHITE,Non Indigenous,MALE,71,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,DIVORCED,ANGLICAN(EPIS.
2944,WHITE,Non Indigenous,MALE,51,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,CATHOLIC - ROMA
2945,WHITE,Non Indigenous,MALE,58,Supervised,FP,DETERMINATE,4383,ONTARIO,COMMON LAW,OTHER
2946,WHITE,Non Indigenous,MALE,38,Supervised,SR,DETERMINATE,2191,QUEBEC,SINGLE,CATH NON-SPEC
2947,METIS,Indigenous,MALE,35,Supervised,FP,DETERMINATE,4585,BRITISH COLUMBIA,SINGLE,NATIVE SPIRITUA
2948,INUIT,Indigenous,MALE,41,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,ANGLICAN(EPIS.
2949,WHITE,Non Indigenous,MALE,48,Supervised,SR,DETERMINATE,782,QUEBEC,COMMON LAW,CATHOLIC - ROMA
2950,WHITE,Non Indigenous,MALE,56,Incarcerated,,DETERMINATE,6209,NEW BRUNSWICK,DIVORCED,CHRISTIAN & MIS
2951,BLACK,Non Indigenous,MALE,39,Incarcerated,,DETERMINATE,2501,ONTARIO,COMMON LAW,MUSLIM
2952,BLACK,Non Indigenous,MALE,35,Supervised,SR,DETERMINATE,2192,ONTARIO,COMMON LAW,CHRI NON SPEC
2953,METIS,Indigenous,MALE,20,Incarcerated,,DETERMINATE,1020,ALBERTA,COMMON LAW,NOT STATED
2954,BLACK,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,2617,MANITOBA,COMMON LAW,MUSLIM
2955,NORTH AMERICAN,Indigenous,MALE,35,Incarcerated,,DETERMINATE,730,ALBERTA,COMMON LAW,CATHOLIC - ROMA
2956,WHITE,Non Indigenous,MALE,70,Incarcerated,,DETERMINATE,1553,ONTARIO,MARRIED,CATHOLIC - ROMA
2957,WHITE,Non Indigenous,MALE,54,Incarcerated,,DETERMINATE,3287,QUEBEC,SINGLE,CATH NON-SPEC
2958,WHITE,Non Indigenous,MALE,32,Supervised,FP,DETERMINATE,730,NOVA SCOTIA,COMMON LAW,
2959,WHITE,Non Indigenous,MALE,45,Incarcerated,,DETERMINATE,730,BRITISH COLUMBIA,DIVORCED,NONE
2960,NORTH AMERICAN,Indigenous,MALE,36,Incarcerated,,DETERMINATE,2465,MANITOBA,MARRIED,CHRI NON SPEC
2961,WHITE,Non Indigenous,MALE,58,Incarcerated,,DETERMINATE,1216,SASKATCHEWAN,DIVORCED,
2962,WHITE,Non Indigenous,MALE,39,Supervised,FP,DETERMINATE,2557,ONTARIO,SINGLE,CHRI NON SPEC
2963,NORTH AMERICAN,Indigenous,MALE,53,Supervised,SR,DETERMINATE,1017,ONTARIO,SINGLE,NATIVE SPIRITUA
2964,WHITE,Non Indigenous,MALE,36,Incarcerated,,DETERMINATE,731,NEW BRUNSWICK,SINGLE,NOT STATED
2965,WHITE,Non Indigenous,MALE,68,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
2966,WHITE,Non Indigenous,MALE,60,Supervised,FP,INDETERMINATE,0,QUEBEC,SINGLE,PROT NON-SPEC
2967,ASI-E/SOUTHEAST,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,730,NOVA SCOTIA,SINGLE,
2968,BLACK,Non Indigenous,MALE,70,Incarcerated,,DETERMINATE,1451,ONTARIO,UNKNOWN,CHRI NON SPEC
2969,METIS,Indigenous,MALE,31,Supervised,FP,DETERMINATE,1461,MANITOBA,SINGLE,NONE
2970,WHITE,Non Indigenous,MALE,37,Incarcerated,,DETERMINATE,792,SASKATCHEWAN,SINGLE,NONE
2971,WHITE,Non Indigenous,MALE,30,Incarcerated,,DETERMINATE,913,QUEBEC,SINGLE,CATH NON-SPEC
2972,WHITE,Non Indigenous,MALE,49,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,CATH NON-SPEC
2973,WHITE,Non Indigenous,MALE,45,Incarcerated,,DETERMINATE,1461,QUEBEC,MARRIED,CATH NON-SPEC
2974,METIS,Indigenous,MALE,21,Incarcerated,,DETERMINATE,1125,SASKATCHEWAN,SINGLE,NONE
2975,METIS,Indigenous,MALE,53,Supervised,SR,DETERMINATE,1351,SASKATCHEWAN,UNKNOWN,
2976,NORTH AMERICAN,Indigenous,MALE,45,Incarcerated,,INDETERMINATE,0,SASKATCHEWAN,SINGLE,CATHOLIC - ROMA
2977,WHITE,Non Indigenous,MALE,30,Supervised,FP,DETERMINATE,3377,ALBERTA,SINGLE,CATHOLIC - ROMA
2978,METIS,Indigenous,MALE,53,Supervised,LTSO,DETERMINATE,1461,BRITISH COLUMBIA,SINGLE,NONE
2979,NORTH AMERICAN,Indigenous,MALE,33,Incarcerated,,INDETERMINATE,0,SASKATCHEWAN,SINGLE,NATIVE SPIRITUA
2980,WHITE,Non Indigenous,MALE,37,Supervised,FP,DETERMINATE,1280,ONTARIO,UNKNOWN,
2981,WHITE,Non Indigenous,MALE,33,Supervised,SR,DETERMINATE,1519,MANITOBA,SINGLE,NONE
2982,WHITE,Non Indigenous,MALE,36,Incarcerated,,DETERMINATE,3500,ONTARIO,COMMON LAW,CATHOLIC - ROMA
2983,WHITE,Non Indigenous,MALE,37,Incarcerated,,DETERMINATE,2983,ONTARIO,MARRIED,CHRI NON SPEC
2984,NORTH AMERICAN,Indigenous,MALE,50,Incarcerated,,DETERMINATE,2602,BRITISH COLUMBIA,SINGLE,NATIVE SPIRITUA
2985,WHITE,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,1461,ONTARIO,SINGLE,ANGLICAN(EPIS.
2986,METIS,Indigenous,MALE,63,Incarcerated,,INDETERMINATE,0,ONTARIO,MARRIED,
2987,NORTH AMERICAN,Indigenous,MALE,37,Incarcerated,,DETERMINATE,3653,BRITISH COLUMBIA,MARRIED,CATHOLIC - ROMA
2988,WHITE,Non Indigenous,MALE,47,Supervised,DP,INDETERMINATE,0,BRITISH COLUMBIA,DIVORCED,NONE
2989,NORTH AMERICAN,Indigenous,MALE,46,Incarcerated,,DETERMINATE,7671,NEW BRUNSWICK,MARRIED,CATHOLIC - NATI
2990,OTHER,Non Indigenous,MALE,25,Supervised,SR,DETERMINATE,1785,ONTARIO,SINGLE,MUSLIM
2991,WHITE,Non Indigenous,MALE,30,Supervised,FP,DETERMINATE,2192,ONTARIO,COMMON LAW,NONE
2992,WHITE,Non Indigenous,MALE,35,Incarcerated,,DETERMINATE,1461,ONTARIO,UNKNOWN,CHRI NON SPEC
2993,WHITE,Non Indigenous,MALE,47,Supervised,DP,DETERMINATE,1645,QUEBEC,COMMON LAW,CATH NON-SPEC
2994,WHITE,Non Indigenous,MALE,70,Supervised,FP,INDETERMINATE,0,QUEBEC,WIDOW(ER),CATH NON-SPEC
2995,WHITE,Non Indigenous,MALE,24,Supervised,SR,DETERMINATE,731,QUEBEC,SINGLE,CATH NON-SPEC
2996,BLACK,Non Indigenous,MALE,48,Incarcerated,,DETERMINATE,4749,BRITISH COLUMBIA,SINGLE,CATH NON-SPEC
2997,WHITE,Non Indigenous,MALE,71,Supervised,FP,INDETERMINATE,0,ONTARIO,MARRIED,PROT NON-SPEC
2998,WHITE,Non Indigenous,MALE,51,Incarcerated,,DETERMINATE,1096,ALBERTA,SINGLE,NONE
2999,WHITE,Non Indigenous,MALE,25,Incarcerated,,DETERMINATE,731,ONTARIO,NOT DETERMINED,NONE
3000,WHITE,Non Indigenous,MALE,59,Supervised,FP,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
3001,WHITE,Non Indigenous,MALE,71,Supervised,SR,DETERMINATE,1116,QUEBEC,SINGLE,CATH NON-SPEC
3002,WHITE,Non Indigenous,MALE,60,Supervised,FP,DETERMINATE,2830,QUEBEC,SINGLE,CATH NON-SPEC
3003,WHITE,Non Indigenous,MALE,24,Incarcerated,,DETERMINATE,1142,QUEBEC,SINGLE,CATH NON-SPEC
3004,NORTH AMERICAN,Indigenous,MALE,48,Incarcerated,,DETERMINATE,1338,BRITISH COLUMBIA,SINGLE,ANGLICAN(EPIS.
3005,WHITE,Non Indigenous,MALE,54,Incarcerated,,DETERMINATE,3287,NEW BRUNSWICK,COMMON LAW,CATH NON-SPEC
3006,S. E. ASIAN,Non Indigenous,MALE,41,Incarcerated,,INDETERMINATE,0,QUEBEC,SINGLE,CATH NON-SPEC
3007,WHITE,Non Indigenous,MALE,62,Supervised,SR,DETERMINATE,851,NEW BRUNSWICK,SINGLE,CHRI NON SPEC
3008,WHITE,Non Indigenous,MALE,37,Incarcerated,,DETERMINATE,2922,QUEBEC,MARRIED,CATH NON-SPEC
3009,NORTH AMERICAN,Indigenous,MALE,25,Incarcerated,,DETERMINATE,1280,ALBERTA,SINGLE,NATIVE SPIRITUA
3010,WHITE,Non Indigenous,MALE,34,Incarcerated,,DETERMINATE,1095,ALBERTA,COMMON LAW,CATHOLIC - ROMA
3011,WHITE,Non Indigenous,MALE,50,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,SALVATION ARMY
3012,OTHER,Non Indigenous,MALE,67,Incarcerated,,DETERMINATE,1218,QUEBEC,COMMON LAW,MUSLIM
3013,WHITE,Non Indigenous,MALE,38,Incarcerated,,DETERMINATE,4459,ONTARIO,SEPARATED,ATHEIST
3014,WHITE,Non Indigenous,MALE,27,Incarcerated,,DETERMINATE,5846,ALBERTA,COMMON LAW,JUDAISM
3015,WHITE,Non Indigenous,MALE,68,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,DIVORCED,NONE
3016,WHITE,Non Indigenous,MALE,29,Incarcerated,,DETERMINATE,1385,ALBERTA,SINGLE,CATHOLIC - ROMA
3017,WHITE,Non Indigenous,MALE,48,Incarcerated,,INDETERMINATE,0,QUEBEC,COMMON LAW,CATH NON-SPEC
3018,BLACK,Non Indigenous,MALE,45,Incarcerated,,DETERMINATE,1250,ONTARIO,COMMON LAW,CHRISTIAN REFOR
3019,NORTH AMERICAN,Indigenous,MALE,49,Supervised,FP,DETERMINATE,1748,BRITISH COLUMBIA,SINGLE,NATIVE SPIRITUA
3020,BLACK,Non Indigenous,MALE,26,Incarcerated,,DETERMINATE,1826,ONTARIO,COMMON LAW,MUSLIM
3021,METIS,Indigenous,MALE,47,Supervised,SR,DETERMINATE,912,SASKATCHEWAN,SINGLE,CATHOLIC - ROMA
3022,BLACK,Non Indigenous,MALE,21,Supervised,SR,DETERMINATE,1219,ONTARIO,NOT DETERMINED,
3023,WHITE,Non Indigenous,MALE,27,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,ATHEIST
3024,WHITE,Non Indigenous,MALE,34,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,PAGAN
3025,WHITE,Non Indigenous,MALE,22,Incarcerated,,DETERMINATE,1096,NEW BRUNSWICK,SINGLE,CHRI NON SPEC
3026,BLACK,Non Indigenous,MALE,24,Incarcerated,,INDETERMINATE,0,MANITOBA,SINGLE,CHRI NON SPEC
3027,NORTH AMERICAN,Indigenous,MALE,28,Supervised,SR,DETERMINATE,2983,SASKATCHEWAN,SINGLE,
3028,BLACK,Non Indigenous,MALE,32,Incarcerated,,DETERMINATE,3287,ONTARIO,COMMON LAW,RASTAFARIAN
3029,WHITE,Non Indigenous,MALE,44,Incarcerated,,INDETERMINATE,0,ALBERTA,SINGLE,NONE
3030,WHITE,Non Indigenous,MALE,30,Incarcerated,,DETERMINATE,1856,SASKATCHEWAN,SINGLE,NONE
3031,WHITE,Non Indigenous,MALE,28,Incarcerated,,DETERMINATE,1550,NEW BRUNSWICK,SINGLE,MUSLIM
3032,WHITE,Non Indigenous,MALE,46,Supervised,FP,DETERMINATE,1026,QUEBEC,SINGLE,CATH NON-SPEC
3033,WHITE,Non Indigenous,MALE,36,Incarcerated,,DETERMINATE,2119,BRITISH COLUMBIA,SINGLE,NONE
3034,WHITE,Non Indigenous,MALE,38,Supervised,FP,DETERMINATE,1065,NOVA SCOTIA,COMMON LAW,NOT STATED
3035,WHITE,Non Indigenous,MALE,34,Supervised,DP,DETERMINATE,6440,BRITISH COLUMBIA,SINGLE,CHRI NON SPEC
3036,ASI-E/SOUTHEAST,Non Indigenous,MALE,41,Incarcerated,,DETERMINATE,2922,ONTARIO,SINGLE,BUDDHIST
3037,METIS,Indigenous,MALE,31,Incarcerated,,DETERMINATE,3652,ALBERTA,COMMON LAW,NONE
3038,NORTH AMERICAN,Indigenous,MALE,32,Incarcerated,,INDETERMINATE,0,BRITISH COLUMBIA,SINGLE,
3039,BLACK,Non Indigenous,FEMALE,53,Supervised,FP,DETERMINATE,4383,ONTARIO,SINGLE,CHRI NON SPEC
3040,WHITE,Non Indigenous,MALE,23,Supervised,SR,DETERMINATE,914,QUEBEC,COMMON LAW,CATH NON-SPEC
3041,WHITE,Non Indigenous,MALE,58,Incarcerated,,INDETERMINATE,0,NEW BRUNSWICK,SINGLE,CATH NON-SPEC
3042,WHITE,Non Indigenous,MALE,50,Incarcerated,,DETERMINATE,1187,ONTARIO,UNKNOWN,
3043,EURO.-EASTERN,Non Indigenous,MALE,38,Incarcerated,,INDETERMINATE,0,ONTARIO,MARRIED,GREEK ORTHODOX
3044,NORTH AMERICAN,Indigenous,MALE,60,Supervised,FP,DETERMINATE,1826,BRITISH COLUMBIA,SINGLE,NONE
